"lemma_cs","translation_ru","notes"
"aby","чтобы",
"Afrika","Африка",
"aha","ага",
"ach","ах",
"akce","специальное предложение, мероприятие",
"aktivita","мероприятие, действие, инициатива",
"alergie","аллергия",
"alergik, alergička","аллергик, женщина-аллергик",
"alkoholický","алкогольный",
"Amerika","Америка",
"analytik","аналитик",
"ani","даже, даже не",
"aplikace","приложение",
"areál","территория, комплекс",
"Asie","Азия",
"asociace","ассоциация",
"astrofyzik","астрофизик",
"atlet","атлет",
"atletický","атлетический",
"atletika","легкая атлетика",
"atmosféra","атмосфера",
"atraktivní","привлекательный",
"aukce","аукцион",
"aukční","аукционный",
"aukční portál","аукционный портал",
"až","когда",
"bakalář","бакалавр",
"bakalářský","бакалаврский",
"bakalářský program","программа бакалавриата",
"balík","посылка",
"bankovní","банковский",
"barák ., dům","дом",
"barevný","цветной",
"barokní","в стиле барокко",
"báseň","стих",
"bavit, A (Baví mě…)","интересовать, развлекать, веселить кто кого, Мне нравится…",
"bavit se","хорошо проводить время, развлекаться",
"běh","бег",
"běhání","бег трусцой",
"běhat","бегать",
"během","в течение, во время чего",
"benefit","выгода, бонус",
"beran","баран",
"bez","без чего",
"bezpečný","безопасный",
"bezstarostně","беззаботно",
"běžet","бежать",
"bio","био, органическое",
"biologie","биология",
"bioprodukt","биопродукт",
"blog","блог",
"bo ., protože","потому что, иначе",
"bobkový list","лавровый лист",
"bohatý","богатый",
"bohužel","к сожалению",
"bonbón","конфета",
"brácha ., bratr","брат",
"bramborový","картофельный",
"bránit se","сопротивляться чему, защищаться от чего",
"bránit se manipulaci","противостоять манипуляциям",
"bratranec","двоюродный брат",
"brněnský","брненский",
"brokolice","брокколи",
"brusinka","брусника",
"brýle","очки",
"břeh","берег",
"buď – nebo","или – или",
"být v důchodu","быть на пенсии",
"být v pubertě","быть подростком, в переходном возрасте",
"bytost","существо, создание",
"byznys","бизнес",
"cena","цена",
"certifikát","сертификат",
"cibule","лук",
"cibulka","луковица",
"cítit","чувствовать",
"cizinec","иностранец",
"cizinecká policie","полиция по делам иностранцев",
"cože","Что? (восклицание, переспрашивание)",
"cukrárna","кафе, кафетерий",
"cvičení","упражнение",
"cyklus, cyklu","цикл",
"čas od času","временами, время от времени",
"časopis","журнал",
"často","часто",
"častý","частый",
"Čechy","Чехия",
"čekat","ждать",
"čerstvě","свежо, свежее",
"čerstvý","свежий",
"česká kuchyně","чешская кухня",
"článek","статья",
"čtenář","читатель",
"čtení","чтение",
"čtvrt","четверть",
"čtvrť","район",
"dál, dále","дальше (здесь: в том же духе)",
"dámský","дамский, женский",
"dát (si) pozor na","быть осторожным, обратить внимание на что",
"dávat (si) pozor na","быть осторожным, обращать внимание на что",
"dědictví","наследие",
"dějepis","история",
"dělat","делать что",
"dělat kariéru","делать карьеру",
"dělník","рабочий",
"denně","каждый день, ежедневно",
"denní","дневной, ежедневный",
"dětské hřiště","детская игровая площадка",
"dětský","детский",
"dětství","детство",
"dieta","диета",
"dietní","диетический",
"diplomovaný specialista","дипломированный специалист",
"diskutovat o","обсуждать, дискутировать о чем",
"diskuze","дискуссия",
"divadelní","театральный",
"divák","зритель",
"dívání se","наблюдение",
"dívat se na","смотреть на что",
"divný","странный",
"divoký","дикий",
"dlouho","долгое время, долго",
"dlouhodobě","долгосрочно",
"dlouhodobý","долгосрочный",
"dlouhodobý pobyt","долгосрочное пребывание",
"dlouholetý","многолетний",
"dlouhý","длинный",
"dnešní","сегодняшний",
"doba","время, период",
"docela","довольно, достаточно",
"dodržet","соблюсти что",
"dodržet termín","уложиться в срок, соблюсти срок",
"dodržovat","соблюдать что",
"dodržovat zásady","соблюдать принципы",
"docházka","посещаемость",
"dojíždět","догонять, доезжать",
"dokdy","до скольки, до каких пор",
"dokončovat","заканчивать что",
"dolní","нижний",
"dolů","вниз",
"domácí","домашний",
"domácí mazlíček","домашнее животное, любимчик",
"dominanta","доминанта",
"domluvit (si) ., A","договориться с кем о чем",
"domluvit si schůzku","договориться о встрече",
"doplnit","дополнить что",
"doporučení","рекомендация",
"doporučovat, A","рекомендовать кому что",
"dopsat, dopíšu","дописать что",
"dospělý","взрослый",
"dospívající","взрослеющий, подросток",
"dostat, dostanu","получить (здесь: захотеть) что",
"dostat chuť na","захотеть чего-то (из еды)",
"dostat slevu","получить скидку",
"dostatek","достаток, необходимое количество",
"dostávat","получать что",
"dostudovat","закончить обучение",
"doufat","надеяться",
"drahý","дорогой",
"druhý stupeň (základní školy)","второй уровень (начальной школы), средняя школа",
"držet dietu","быть на диете",
"držet se","держаться, придерживаться чего, соблюдать что",
"držet se pravidla","придерживаться правил",
"důchod","пенсия",
"důchodce","пенсионер",
"důchodkyně","пенсионер (женщина)",
"důležitost","важность",
"důležitý","важный",
"dusit","тушить что",
"dušený","тушеный",
"efektivně","эффективно",
"ekologický","экологический",
"elektrický","электрический",
"elektrikář","электрик",
"etapa","этап",
"euro","евро",
"Evropa","Европа",
"evropský","европейский",
"existovat","существовать",
"exotický","экзотический",
"extrémně","очень, крайне, экстремально",
"Fairtrade","справедливая, добросовестная торговля",
"fairtradový","из/на основании добросовестной торговли",
"farma","ферма",
"federace","федерация",
"fér","честно, порядочно",
"férový","честный, порядочный",
"festival","фестиваль",
"filmový","кинематографический, кино-",
"finanční","финансовый",
"finanční úřad","налоговый орган",
"folklórní","фольклорный",
"formulář","бланк",
"Formule 1","Формула 1",
"francouzský","французский",
"fungovat","работать, действовать, функционировать",
"fyzik","физик",
"fyzika","физика",
"gepard","гепард",
"globus, glóbu","глобус, земной шар",
"gotický","готический",
"GPS, džípíeska","GPS",
"gratulovat","поздравлять кого",
"gymnázium, gymnázia ., ., ., gympl","гимназия",
"hádat se s","спорить, ругаться с кем",
"handicapovaný, člověk/ dítě s handicapem","инвалид; человек, ребенок с ограниченными возможностями",
"hasič","пожарник",
"hele","эй, смотри",
"historický","исторический",
"hladká mouka","мука мелкого помола",
"hladký","гладкий (здесь: мелкого помола)",
"hlavně","в основном, главное",
"hlavní","главный, основной",
"hlavní hrdina","главный герой",
"hlavní jídlo","основное, главное блюдо",
"hledání","поиск",
"hlediště","зрительный зал",
"hlídání","наблюдение (здесь: няня)",
"hlučně","шумно",
"hlučný","шумный",
"hned","немедленно, сразу",
"hobby","хобби",
"hodit se, D (Hodí se vám termín…?)","подходить, быть удобным кому что (Вам подходит этот день/ время…?)",
"hodnocení","оценка",
"hodnotit","оценивать что",
"holka","девушка",
"horní","верхний",
"hororový","ужасный, страшный, из фильма ужасов",
"hořký","горький",
"hospoda","трактир",
"hotový","готовый",
"houba","гриб",
"houska","булочка",
"houskový","булочный, хлебный",
"housle","скрипка",
"houslista","скрипач",
"houslový","скрипичный",
"hra","игра",
"hráč","игрок",
"hračka","игрушка",
"hraní","играние",
"hranolky","картофель фри",
"hravý","игривый",
"hrdina","герой",
"hrnec","горшок, кастрюля",
"hrozně","ужасно",
"hřiště","игровая площадка",
"hudebně","музыкально",
"hurá","ура",
"chatovat","общаться в чате",
"chemie","химия",
"chléb, chleba, chleba","хлеб",
"chlupatý","волосатый, лохматый",
"chod","блюдо",
"chov","разведение",
"chovat","разводить (животных) кого",
"chroustat","хрустеть, грызть чем",
"chudý","бедный",
"chuť","вкус",
"chutnat, D","нравиться (о еде) кому что",
"chvíle","минутка, момент",
"chyba","ошибка",
"chybět, D","отсутствовать, не хватать чего кому",
"chytrý","умный",
"chytrý telefon","смартфон",
"ideální","идеальный",
"ideální pár","идеальная пара",
"individuální vzdělávací plán","индивидуальный учебный план",
"informatika","информатика",
"ingredience","ингредиент",
"inspirace","вдохновение",
"instalatér","сантехник",
"instituce","учреждение, институт",
"inteligentně","разумно, интеллигентно",
"inzerát","объявление",
"inzertní","по объявлению",
"inzertní portál","портал объявлений",
"inženýr","инженер",
"jahoda","клубника",
"jahodový","клубничный",
"jakmile","как только",
"jasně","ясно, конечно, понятно",
"jasný","понятный, ясный",
"jazykový","языковой",
"jednak – jednak","с одной стороны – с другой стороны",
"jednoduchý","простой",
"jednou","один раз, однажды",
"jednoznačně","однозначно",
"jen","только",
"jestli","если (здесь: -ли, что)",
"jezírko","небольшое озеро",
"jihočeský","Южно-чешский",
"jinak","по-другому (здесь: в остальном)",
"jindy","в другой раз",
"jiný","другой",
"jistý","уверенный, определенный, бесспорный",
"jizerský","в Йизерских горах, йизерский",
"jižní","южный",
"jogging","джоггинг, оздоровительный бег",
"jogurt","йогурт",
"kachna","утка",
"kakao","какао",
"kakaový","из какао",
"kapr","карп",
"karate","каратэ",
"karetní","карточный",
"kariéra","карьера",
"kategorie","категория",
"každoročně","каждый год, ежегодно",
"kdyby","если бы",
"kelímek","стаканчик, баночка",
"kilogram, kilo","килограмм",
"kilometr","километр",
"klavír","пианист",
"klenot","сокровище, драгоценность",
"klíč","ключ",
"klient","клиент",
"klientka","клиент (женщина)",
"klobása","колбаса",
"kluk","мальчик",
"kmín","тмин",
"kněz","священник",
"kobliha","пончик, пышка",
"koláč","пирог, кекс",
"kolikrát","сколько раз",
"kolo","велосипед",
"komentář","комментарий",
"komplikace","проблема, осложнение",
"konat se","проходить, совершаться",
"končit","кончить, кончиться, закончить(ся)",
"konec","конец",
"konečně","наконец-то",
"koníček","хобби, увлечение",
"konkrétní","конкретный",
"kontrolovat","проверять что",
"konverzovat","разговаривать",
"konzumovat","потреблять, съедать что",
"kopec","холм",
"kopie","копия",
"kopr","укроп",
"kostel","церковь, костел",
"košík","корзинка",
"koupání","купание",
"koupený","купленный",
"koupit ., A","купить кому что",
"kousek","кусок",
"kouzelný","волшебный",
"kouzlo","колдовство, волшебство",
"koza","коза",
"krájet","резать что",
"králík","кролик",
"krátký","короткий",
"kráva","корова",
"krev","кровь",
"krocan","индюк",
"kroj","национальный костюм",
"kroužek","кружок",
"krumlovský","из Крумлова, в Крумлове, крумловский",
"křeček","хомяк",
"křišťálový","хрустальный",
"kulajda","суп из грибов с картошкой",
"kulturní","культурный",
"kulturní akce","культурное мероприятие",
"kůň, koně","лошадь",
"kupodivu","как это ни странно",
"kurz","курс",
"kuře, kuřata","цыпленок",
"kvalita","качество",
"kvůli","из-за чего",
"kytara","гитара",
"labyrint","лабиринт",
"láhev","бутылка",
"lavice","скамейка (здесь: парта)",
"lázně","курорт",
"lednička","холодильник",
"legenda","легенда, миф, сказание",
"lehký","легкий (здесь: простой)",
"lékař, lékařka","врач, женщина-врач",
"leták","листовка",
"letní","летний",
"letos","в этом году",
"lev","лев",
"levně","дешево",
"levný","дешевый",
"ležet","располагаться",
"lidová hudba","народная музыка",
"lidový","народный",
"lidský","человеческий",
"limonáda","лимонад",
"lít, liju","лить что",
"litr","литр",
"loď","корабль",
"louka","луг",
"lyžařský","лыжный",
"lyže","лыжи",
"lžíce","ложка",
"magazín","журнал",
"magický","волшебный",
"magie","магия",
"magisterský","магистерский",
"magisterský program","магистерская программа",
"magistr","магистр",
"magistrát","мэрия",
"majitelka","владелица",
"makový","маковый",
"malíř","художник",
"málo","мало, немного (здесь: менее)",
"málokdy","редко",
"malovat","рисовать что",
"malý","маленький, небольшой",
"manipulace","манипуляция",
"maraton","марафон",
"mariánský","марианский",
"máslo","масло",
"matematik","математик",
"mateřská škola, školka","детский сад",
"maturita, matura","выпускной экзамен на аттестат зрелости, выпускной экзамен",
"maturovat","сдавать выпускные экзамены на аттестат зрелости",
"mazlíček .-","домашнее животное, любимчик",
"medaile","медаль",
"medicína","медицина",
"medvěd","медведь",
"měkký","мягкий",
"méně, míň","меньше",
"městský úřad","муниципалитет",
"mezinárodní","международный",
"Mezinárodní asociace atletických federací","Международная ассоциация федераций по легкой атлетике",
"míchat","перемешивать, смешивать что",
"miláček .-","любимый, любимая",
"mimopracovní","нерабочий, неслужебный",
"mimopracovní konverzace","нерабочие разговоры",
"mínění","мнение",
"ministerstvo","министерство",
"Ministerstvo vnitra","Министерство внутренних дел",
"minulost","прошлое",
"minulý","прошлый",
"místo","место",
"místo","место, вместо чего",
"mistrovství","чемпионат",
"mít hlídání","иметь няню",
"mít maturitu","закончить среднюю школу с аттестатом зрелости",
"mít platnost","быть действительным",
"mít pořádek","соблюдать порядок",
"mít svatbu","иметь свадьбу, жениться, выйти замуж",
"mít zodpovědnost za","быть ответственным за что",
"mítink","митинг",
"mléčný","молочный",
"mlsný","привередливый, разборчивый, жадный",
"mlýn","мельница",
"mlýnské kolo","мельничное колесо",
"mlýnský","мельничный",
"mňam","ням-ням",
"mnohem víc","намного больше",
"mnoho","много",
"mnohý","многий",
"moct, můžu","мочь",
"Morava","Моравия",
"morče, morčata","морская свинка",
"motiv","мотив",
"motivovat","мотивировать кого",
"motorka","мотоцикл",
"moučník","десерт, сладкое",
"moudrý","мудрый",
"mouka","мука",
"možná","может быть, возможно",
"mravenec","муравей",
"mrkvový","морковный",
"myslet","думать",
"mýt nádobí","мыть посуду",
"na svůj věk","для его / ее возраста",
"nabízet, A","предлагать кому что",
"nábytek","мебель",
"nadace","благотворительный фонд",
"nadaný","одаренный, талантливый",
"nádobí","посуда",
"najíst se, najím se","наесться, накушаться (здесь: удовлетвориться)",
"najít","найти кого, что",
"nakonec","в конце концов, в итоге",
"nakrájený","нарезанный",
"nakrájet","нарезать что",
"nákup","покупка",
"nákupní","покупательский",
"nakupování","поход по магазинам, шоппинг",
"nakupovat, A","покупать кому что",
"nakupovat na inzerát","покупать по объявлению",
"nálada","настроение",
"naladit","создать настроение, настроить что",
"nalít, naliju","налить что",
"naopak","напротив, наоборот",
"naparovat se","кичиться, хвастаться",
"naplánovat (si) ., A","запланировать кому что",
"nápoj","напиток",
"naproti","напротив чего",
"napsat, napíšu ., A","написать кому что",
"náročný","требовательный",
"narodit se","родиться",
"narozeniny","день рождения",
"nastoupit","войти (здесь: начать работу, выйти на работу)",
"nastupovat","заходить (здесь: начинать работу, выходить на работу)",
"naučit se","научиться, выучиться чему",
"navíc","более того",
"navigace","навигация",
"navrhovat, A","предлагать кому что",
"návštěva","гости, визит, посещение",
"návštěvník","посетитель",
"navštívit","посетить что",
"návyk","привычка",
"názor","мнение",
"nebezpečně","опасно",
"nebezpečný","опасный",
"nedávno","недавно",
"nechat si","оставить что",
"nějak","как-то, как-нибудь",
"nějaký","какой-то, какой-нибудь",
"nejdřív","сначала, раньше всего",
"nejen – ale (i)","не только - но (и)",
"několik","несколько",
"některý","некоторый, какой-то, какой-нибудь",
"neobvyklý","необыкновенный",
"nepořádek","беспорядок",
"nesnášet","не выносить, не переносить что",
"neuvěřitelně","невероятно",
"nevýhoda","недостаток",
"než","чем",
"nízký","низкий",
"notebook","ноутбук",
"nově","по-новому",
"novinář, novinářka","журналист, журналистка",
"noviny","газета, газеты",
"nudit se","скучать",
"nutný","необходимый",
"občanský","гражданский",
"občanský průkaz","удостоверение личности, паспорт",
"občas","иногда",
"občerstvení","фастфуд, перекус",
"obdivovat","восхищаться чем",
"obecní","муниципальный, городской, общественный",
"obecní úřad","муниципальное управление",
"oběd","обед",
"obchodní centrum","торговый центр, супермаркет",
"obchodník","торговец, продавец, коммерсант",
"objednat (se)","записаться куда",
"objevit","открыть что",
"oblečení","одежда",
"oblíbený","любимый, излюбленный",
"obraz","картина",
"obrázek","картинка",
"obrovský","огромный",
"obvykle","обычно, как правило",
"obvyklý","обычный",
"obyčejný","обычный",
"obývák","гостиная комната",
"ocet","уксус",
"odborný","профессиональный, специальный",
"oddělení","отдел",
"odejít, odejdu","уйти",
"odcházet","уходить",
"odkdy","с каких пор",
"odkládat","откладывать что",
"odkud","откуда",
"odměnit","наградить кого",
"odpočinkový","для отдыха",
"odpovídat na","отвечать кому на что",
"odsud, odtud","отсюда, оттуда",
"ochutnat","попробовать что (о еде)",
"ochutnávka","дегустация",
"okno","окно",
"oko","глаз",
"okolí","окрестность",
"okurka","огурец",
"olej","подсолнечное масло",
"oloupaný","очищенный",
"omáčka","соус",
"omezit","ограничить что",
"on-line","онлайн",
"opice","обезьяна",
"opravdový","настоящий",
"opravdu","действительно, на самом деле",
"oprávnění","право, разрешение, патент, авторизация",
"orientovat se","ориентироваться",
"ořechový","ореховый",
"oslava","празднование",
"osmažený","поджаренный",
"osmažit, usmažit","обжарить, пожарить что",
"osmiletý","восьмилетний",
"osoba","человек (здесь: лицо)",
"ostatní","другой, иной",
"ošklivý","уродливый, противный",
"otáčivý","вращающийся",
"otevírací, otvírací","открывающийся",
"otevírací doba","часы работы",
"otevírat","открывать что",
"otevřeno","открыто",
"otevřít, otevřu","открыть что",
"ovce","овца",
"ovlivnit","повлиять на кого",
"označovat","отмечать, обозначать что",
"padesátka . (padesát kilometrů)","50, пятьдесят километров",
"památka","памятник",
"pamatovat si","помнить что",
"panelák","панельный дом",
"paní na úklid","уборщица, нанятая женщина для уборки",
"pánský","мужской",
"papoušek","попугай",
"pár","пара",
"pár","немного, пара",
"parfém","духи",
"parkoviště","стоянка, парковка",
"partnerka","партнер (женщина)",
"patřit mezi","относиться к чему",
"péct, peču","печь, запекать что",
"pečený","запеченый",
"penze","пенсия",
"penzion","пансион",
"perfektně","отлично, идеально",
"perfektní","идеальный",
"personální","персональный",
"personální oddělení","отдел кадров",
"pěstitel","растениевод",
"pěstovat","культивировать, выращивать что",
"pětilistý","пятилистный",
"pevné místo","постоянное место",
"pevný","твердый (здесь: стабильный, постоянный)",
"pilný","прилежный",
"pískoviště","песочница",
"placený","оплаченный",
"plán","план",
"plantáž","плантация",
"plat","зарплата",
"platnost","срок действия",
"plně","в полной мере, полностью",
"plný","полный",
"plný úvazek","полная ставка",
"pneumatika","шина, колесо",
"pobyt","пребывание",
"pocit","чувство, ощущение",
"počasí","погода",
"počítačový","компьютерный",
"podepsat, podepíšu","подписать что",
"podívat se . na","посмотреть на что",
"podle","по, в соответствии с чем",
"podmínka","условие",
"podnikat","заниматься предпринимательством",
"podnikatelský","предпринимательский",
"podnikatelský účet","бизнес-счет, предпринимательский счет",
"podobně","так же, по аналогии, похоже, подобным образом",
"podobný","похожий",
"podusit","потушить что",
